시군구명,행정동명,인구지수,예산복지지수,공동육아나눔터유무
금천구,독산4동,4553.543427709474,1046438.51,0
금천구,시흥1동,11664.230730827327,1046438.51,0
금천구,시흥2동,7069.214788349793,1046438.51,0
금천구,시흥3동,4290.257570841807,1046438.51,0
금천구,시흥4동,4944.905127356212,1046438.51,0
금천구,시흥5동,4885.1165232238045,1046438.51,0
영등포구,여의동,40896.68246369145,1360221.91,0
영등포구,당산1동,10523.325501317526,1360221.91,0
영등포구,당산2동,16367.56899356391,1360221.91,0
영등포구,양평1동,8424.715436734728,1360221.91,0
영등포구,양평2동,12622.05162769905,1360221.91,0
영등포구,신길1동,7289.156914437381,1360221.91,1
영등포구,신길3동,5497.272748810694,1360221.91,0
영등포구,신길4동,3231.0720190352877,1360221.91,0
영등포구,신길5동,3487.857475067104,1360221.91,0
영등포구,신길6동,10233.92049662661,1360221.91,0
영등포구,신길7동,6112.124233478513,1360221.91,0
영등포구,대림1동,6873.95037762059,1360221.91,0
영등포구,대림2동,7113.676428375844,1360221.91,0
영등포구,대림3동,10345.32149168888,1360221.91,0
영등포구,영등포본동,7768.522726819678,1360221.91,0
영등포구,영등포동,21116.331547309732,1360221.91,0
영등포구,도림동,6007.729781662696,1360221.91,0
영등포구,문래동,17434.614847511228,1360221.91,0
동작구,노량진2동,6762.016292732668,1411891.74,0
동작구,상도1동,18622.032179015772,1411891.74,0
동작구,상도2동,9809.72267242632,1411891.74,0
동작구,상도3동,7574.027521731627,1411891.74,0
동작구,상도4동,9494.753908551453,1411891.74,0
동작구,사당1동,10604.14654180861,1411891.74,0
동작구,사당3동,8686.945487734365,1411891.74,0
동작구,사당4동,5349.084869707313,1411891.74,0
동작구,사당5동,4863.016640982015,1411891.74,0
동작구,대방동,17928.659173877284,1411891.74,0
동작구,신대방1동,7176.781540048894,1411891.74,0
동작구,신대방2동,10598.465332334146,1411891.74,0
동작구,흑석동,13415.363897702468,1411891.74,0
동작구,노량진1동,14698.727027047393,1411891.74,0
동작구,사당2동,13766.221394408443,1411891.74,1
관악구,보라매동,7004.166511818624,1597042.8299999998,0
관악구,청림동,4699.163669044335,1597042.8299999998,0
관악구,행운동,9766.912138953694,1597042.8299999998,0
관악구,낙성대동,9468.572942608158,1597042.8299999998,1
관악구,중앙동,6977.1309785241365,1597042.8299999998,0
관악구,인헌동,10463.438661178187,1597042.8299999998,0
관악구,남현동,9386.719506904677,1597042.8299999998,0
관악구,서원동,9027.362800876988,1597042.8299999998,0
관악구,신원동,6447.899715946758,1597042.8299999998,0
관악구,서림동,6931.930309962536,1597042.8299999998,0
관악구,신사동,8374.439345472725,1597042.8299999998,0
관악구,신림동,11466.681496176605,1597042.8299999998,1
관악구,난향동,4763.541730756223,1597042.8299999998,0
관악구,조원동,11168.383784015745,1597042.8299999998,0
관악구,대학동,12528.6632086128,1597042.8299999998,0
관악구,은천동,11869.391221304073,1597042.8299999998,0
관악구,성현동,10263.045570572962,1597042.8299999998,0
관악구,청룡동,15137.955488132684,1597042.8299999998,0
관악구,난곡동,7580.860173778534,1597042.8299999998,0
관악구,삼성동,7820.927778108365,1597042.8299999998,0
관악구,미성동,9098.483645644412,1597042.8299999998,0
강남구,신사동,15442.297018383591,2134404.59,0
강남구,논현1동,17990.852118149203,2134404.59,0
강남구,논현2동,18766.23578272999,2134404.59,0
강남구,삼성1동,17711.669111916242,2134404.59,0
강남구,삼성2동,18634.968386898436,2134404.59,0
강남구,대치1동,13403.937415345557,2134404.59,0
강남구,대치4동,17365.43542955765,2134404.59,0
강남구,역삼1동,43771.378805677756,2134404.59,0
강남구,역삼2동,25239.85952588593,2134404.59,0
